question_title,question_order,name,model_tag,tags,type,mean,median,std,sem,ci_95
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,Jacek_Samsung_M31_v3.wav,not_synthetic,Jacek_Samsung_M31_v3.wav;male;not_synthetic,A,2.4,2.0,0.49,0.245,0.68
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,youtube1-enhanced-100p.wav,not_synthetic,youtube1.wav;male;not_synthetic,A,5.0,5.0,0.0,0.0,0.0
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_f10_script2_clean_35_office1_Uber_ch3-enhanced-100p.wav,not_synthetic,DDS_f10_script2_clean_35_office1_Uber_ch3.wav;female;not_synthetic,A,5.0,5.0,0.0,0.0,0.0
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,p316_193_mic2_0_noisy-enhanced-100p.wav,synthetic,p316_193_mic2_0_noisy.wav;male;synthetic,A,5.0,5.0,0.0,0.0,0.0
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,Monika-enhanced-100p.wav,not_synthetic,Monika.wav;female;not_synthetic,A,5.0,5.0,0.0,0.0,0.0
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,youtube1.wav,not_synthetic,youtube1.wav;male;not_synthetic,A,4.2,4.0,0.748,0.374,1.039
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_f3_script4_clean_35_confroom1_Uber_ch5.wav,not_synthetic,DDS_f3_script4_clean_35_confroom1_Uber_ch5.wav;female;not_synthetic,A,3.2,3.0,0.4,0.2,0.555
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_f3_script4_clean_35_confroom1_Uber_ch5-enhanced-100p.wav,not_synthetic,DDS_f3_script4_clean_35_confroom1_Uber_ch5.wav;female;not_synthetic,A,5.0,5.0,0.0,0.0,0.0
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_m8_script5_clean_12_office1_Marantz_ch2.wav,not_synthetic,DDS_m8_script5_clean_12_office1_Marantz_ch2.wav;male;not_synthetic,A,4.6,5.0,0.49,0.245,0.68
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,p261_024_mic1_0_noisy-enhanced-100p.wav,synthetic,p261_024_mic1_0_noisy.wav;female;synthetic,A,4.4,5.0,0.8,0.4,1.111
